epoch,avg_train_loss,avg_val_loss,avg_train_relative_error,avg_val_relative_error
1,0.08738682373659686,0.0186160915880464,0.2070113896159455,0.13133696103468537
2,0.012420695819309912,0.009604318800847977,0.10081698501016945,0.09264256060123444
3,0.008518140066007618,0.00738459566491656,0.08289244883926586,0.08162611275911331
4,0.006956472985621076,0.005415890645235777,0.07467002354096622,0.07070922954007983
5,0.005285343944706256,0.008199937909375876,0.06539489566348493,0.08666715370491147
6,0.005110446744947694,0.013352601078804583,0.06401538925711066,0.10825766446068882
7,0.00429223940736847,0.0052092555211856965,0.05834780764998868,0.07196866050362587
8,0.0035453153010166715,0.002994238614337519,0.05345627150963992,0.05364392404444516
9,0.0033313648382318206,0.005153011495713145,0.05151543285464868,0.06897815531119704
10,0.003120309729274595,0.0060429787205066535,0.04993608886143193,0.07617040164768696
11,0.0030610935384174807,0.003083631364279427,0.04924369216896594,0.05546474829316139
12,0.0026299876135453815,0.00741646017995663,0.04570874476339668,0.08052386911585926
13,0.0026337593168136663,0.003545443111215718,0.045770941372029486,0.058173310151323675
14,0.002421592949394835,0.004404003027593717,0.0441336200456135,0.06218980811536312
15,0.0021788104819279396,0.0030556329555111008,0.04176592094590888,0.052205383963882926
16,0.00221331485263363,0.004599270265316591,0.0420817933161743,0.06406815489754081
17,0.002046834261273034,0.0021953693678369744,0.040384396375156936,0.04601110089570284
18,0.0023047642585879657,0.0024201937252655626,0.04235494862077758,0.04889563648030162
19,0.0019429069896432338,0.004364533265470527,0.03896530232741498,0.0662338734138757
20,0.0019589640291087563,0.0032299348065862434,0.03958981278119609,0.05482548768632114
21,0.0016741921957873275,0.003315786476014182,0.03643160811625421,0.05628709089942276
22,0.001763962004588393,0.003680387549684383,0.037190190714318304,0.06028593755327165
23,0.0017845934173237766,0.0016660459325066768,0.037623259419342504,0.04027897771447897
24,0.0016875693396286805,0.0023501514398958532,0.03653955702320673,0.048231317987665535
25,0.0014987702690632432,0.004137706896290183,0.034553353284718466,0.06348909307271242
26,0.0014302098572443356,0.003450302468263544,0.033527893625432625,0.058302589459344745
27,0.0015132326328966884,0.003922623783000745,0.03462161360657774,0.06084218001924455
28,0.001328583808754047,0.002988743787864223,0.032344536174787206,0.052955856546759605
29,0.001548001454102632,0.005382629681844264,0.03492030918132514,0.07172891283407808
30,0.001315271164094156,0.00873237673076801,0.03190762480371632,0.09185280418023467
31,0.0014279519533374695,0.0028997487796004863,0.03344452725141309,0.05365314017981291
32,0.0011632960875431308,0.0018698805448366328,0.030281628604279832,0.04323032014071941
33,0.001211869558574108,0.0016244875369011424,0.031019768287660555,0.04009431907907128
34,0.0011430949427449378,0.0010278915891831276,0.030020080623216927,0.03192215100862086
35,0.0011916823390492937,0.0014772076334338634,0.03063632670091465,0.036312137031927705
36,0.0012062334722941158,0.0018308452592464164,0.030717708327574655,0.043016509525477885
37,0.0012756746329614544,0.001777453905378934,0.03170710427220911,0.04106921846978366
